iteration,x_lower,x_upper,root,ea
1,1.0,4,1.6666666666666667,100.0
2,1.6666666666666667,4,2.090909090909091,0.2028985507246376
3,2.090909090909091,4,2.288888888888889,0.08649602824360121
4,2.288888888888889,4,2.367875647668394,0.033357646486749375
5,2.367875647668394,4,2.397390272835113,0.012311147459447712
6,2.397390272835113,4,2.40814674939304,0.004466703102972532
7,2.40814674939304,4,2.4120310874487485,0.0016104013235654748
8,2.4120310874487485,4,2.413429130199592,0.0005792764881095561
9,2.413429130199592,4,2.4139317085435033,0.0002081990729616257
10,2.4139317085435033,4,2.414112301182421,7.48070579936706e-05
11,2.414112301182421,4,2.4141771839096866,2.6875710572532966e-05
12,2.4141771839096866,4,2.4142004934654615,9.655186401456568e-06
